,Final Value,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown
Equal Weight,27286.19503856286,0.1261012329637058,0.12414604626268634,1.0157490855317484,-0.2515452899877727
Balanced,29434.977963126137,0.1385209761074118,0.14951760732545694,0.9264526003676034,-0.27379134125625004
Risk Parity,22974.128845002495,0.10422119114329338,0.11061645097771579,0.9421852737283104,-0.25330537890756477
