,Equal Weight,Balanced,Risk Parity
GLD,0.17441416311784622,0.031440360667546206,0.25010633896148937
QQQ,0.41312484417209056,0.45841401986575836,0.2500632299709843
SPY,0.32166586232945354,0.48563937140890134,0.24994486739556387
TLT,0.09079513038060968,0.02450624805779396,0.24988556367196246
