Date,GLD,QQQ,SPY,TLT
2018-01-02,125.1500015258789,150.05722045898438,235.9542999267578,98.729248046875
2018-01-03,124.81999969482422,151.51531982421875,237.44674682617188,99.20132446289062
2018-01-04,125.45999908447266,151.7803955078125,238.4475860595703,99.18560028076172
2018-01-05,125.33000183105469,153.3047637939453,240.03656005859375,98.90237426757812
2018-01-08,125.30999755859375,153.9011993408203,240.47547912597656,98.83939361572266
2018-01-09,124.7300033569336,153.9106903076172,241.01980590820312,97.5176773071289
2018-01-10,125.02999877929688,153.55093383789062,240.65106201171875,97.399658203125
2018-01-11,125.44000244140625,154.6018524169922,242.40687561035156,97.80089569091797
2018-01-12,126.95999908447266,155.738037109375,243.9871368408203,97.96611785888672
2018-01-16,127.16999816894531,155.2930145263672,243.1531219482422,98.37525177001953
2018-01-17,126.13999938964844,156.96885681152344,245.4707489013672,98.24148559570312
2018-01-18,125.86000061035156,156.99720764160156,245.05819702148438,97.32888793945312
2018-01-19,126.41999816894531,157.4895782470703,246.173095703125,96.81745910644531
2018-01-22,126.6500015258789,159.1748809814453,248.1747283935547,96.911865234375
2018-01-23,127.27999877929688,160.49090576171875,248.70152282714844,97.32888793945312
2018-01-24,128.8300018310547,159.44940185546875,248.6049041748047,96.80175018310547
2018-01-25,127.97000122070312,159.39263916015625,248.71023559570312,97.59635162353516
2018-01-26,128.07000732421875,161.83531188964844,251.5897216796875,97.23445129394531
2018-01-29,127.3499984741211,161.0495147705078,249.92176818847656,96.557861328125
2018-01-30,126.80000305175781,159.72398376464844,247.3582763671875,95.99137115478516
2018-01-31,127.6500015258789,160.38671875,247.48117065429688,96.557861328125
2018-02-01,128.07000732421875,159.0233612060547,247.2002716064453,95.1584243774414
2018-02-02,126.38999938964844,155.8516387939453,241.81861877441406,94.2754135131836
2018-02-05,126.70999908447266,149.70693969726562,231.70526123046875,95.16634368896484
2018-02-06,125.37999725341797,153.67398071289062,236.27035522460938,94.57506561279297
2018-02-07,124.79000091552734,151.6857147216797,234.9886474609375,93.67630767822266
2018-02-08,124.9800033569336,145.28536987304688,226.1744384765625,93.57379150390625
2018-02-09,124.7699966430664,147.79441833496094,229.5718994140625,92.98249816894531
2018-02-12,125.37000274658203,150.41702270507812,232.94305419921875,93.39248657226562
2018-02-13,126.08000183105469,151.19337463378906,233.52249145507812,93.81029510498047
2018-02-14,128.22999572753906,154.02426147460938,236.67417907714844,92.7696762084961
2018-02-15,128.3800048828125,156.8836212158203,239.6941680908203,93.08499908447266
2018-02-16,127.95999908447266,156.1830291748047,239.76438903808594,93.58959197998047
2018-02-20,126.23999786376953,156.495361328125,238.26312255859375,93.17961883544922
2018-02-21,125.66000366210938,156.0504913330078,237.0780487060547,92.03644561767578
2018-02-22,126.30000305175781,156.03150939941406,237.38525390625,92.3123779296875
2018-02-23,126.13999938964844,159.22219848632812,241.1691131591797,93.13231658935547
2018-02-26,126.44999694824219,161.3335723876953,243.96954345703125,93.16384887695312
2018-02-27,125.12999725341797,159.33584594726562,240.92327880859375,93.02981567382812
2018-02-28,125.0,158.3132781982422,238.48265075683594,93.62110900878906
2018-03-01,124.72000122070312,155.72850036621094,235.01495361328125,94.26021575927734
2018-03-02,125.38999938964844,157.15818786621094,236.22650146484375,93.49391174316406
2018-03-05,125.18000030517578,158.9003143310547,238.95664978027344,93.24114990234375
2018-03-06,126.52999877929688,159.57252502441406,239.5624542236328,93.32805633544922
2018-03-07,125.72000122070312,159.94168090820312,239.47471618652344,93.22531127929688
2018-03-08,125.41999816894531,160.82229614257812,240.63351440429688,93.76250457763672
2018-03-09,125.54000091552734,163.9466552734375,244.8211212158203,93.14630889892578
2018-03-12,125.54000091552734,164.8177490234375,244.51382446289062,93.68350982666016
2018-03-13,125.77999877929688,162.5738525390625,242.93365478515625,94.15750885009766
2018-03-14,125.69999694824219,162.5454559326172,241.6869354248047,94.98701477050781
2018-03-15,124.9000015258789,162.40345764160156,241.42364501953125,94.98701477050781
2018-03-16,124.5999984741211,161.92056274414062,241.68545532226562,94.64729309082031
2018-03-19,124.87000274658203,158.4658203125,238.4153289794922,94.34709167480469
2018-03-20,124.30999755859375,158.98736572265625,238.82083129882812,93.96788787841797
2018-03-21,126.4800033569336,158.2950439453125,238.36248779296875,94.07060241699219
2018-03-22,125.9800033569336,154.3879852294922,232.404052734375,95.00274658203125
